"Time (s) Run #1","Absolute Pressure (kPa) Run #1","Temperature (°C) Run #1","Abs (K) Run #1"
17.350,103.744,47.17,320.32
17.400,103.768,47.19,320.34
17.450,103.768,47.21,320.36
17.500,103.824,47.23,320.38
17.550,103.746,47.25,320.40
17.600,103.772,47.27,320.42
17.650,103.783,47.30,320.45
17.700,103.768,47.33,320.48
17.750,103.774,47.37,320.52
17.800,103.774,47.40,320.55
17.850,103.785,47.43,320.58
17.900,103.817,47.47,320.62
17.950,103.755,47.50,320.65
18.000,103.798,47.53,320.68
18.050,103.776,47.56,320.71
18.100,103.785,47.59,320.74
18.150,103.800,47.62,320.77
18.200,103.807,47.65,320.80
18.250,103.802,47.67,320.82
18.300,103.794,47.70,320.85
18.350,103.798,47.71,320.86
18.400,103.789,47.74,320.89
18.450,103.774,47.76,320.91
18.500,103.800,47.78,320.93
18.550,103.811,47.79,320.94
18.600,103.796,47.82,320.97
18.650,103.817,47.83,320.98
18.700,103.807,47.85,321.00
18.750,103.824,47.87,321.02
18.800,103.822,47.89,321.04
18.850,103.783,47.90,321.05
18.900,103.833,47.92,321.07
18.950,103.835,47.94,321.09
19.000,103.854,47.96,321.11
19.050,103.817,47.98,321.13
19.100,103.846,48.00,321.15
19.150,103.859,48.02,321.17
19.200,103.846,48.04,321.19
19.250,103.852,48.06,321.21
19.300,103.870,48.07,321.22
19.350,103.859,48.09,321.24
19.400,103.854,48.11,321.26
19.450,103.852,48.12,321.27
19.500,103.843,48.14,321.29
19.550,103.835,48.16,321.31
19.600,103.870,48.17,321.32
19.650,103.885,48.19,321.34
19.700,103.841,48.20,321.35
19.750,103.874,48.22,321.37
19.800,103.861,48.23,321.38
19.850,103.843,48.25,321.40
19.900,103.854,48.26,321.41
19.950,103.854,48.27,321.42
20.000,103.893,48.29,321.44
20.050,103.846,48.30,321.45
20.100,103.859,48.31,321.46
20.150,103.848,48.32,321.47
20.200,103.872,48.34,321.49
20.250,103.859,48.35,321.50
20.300,103.843,48.36,321.51
20.350,103.852,48.38,321.53
20.400,103.876,48.39,321.54
20.450,103.848,48.40,321.55
20.500,103.854,48.41,321.56
20.550,103.859,48.42,321.57
20.600,103.863,48.44,321.59
20.650,103.891,48.46,321.61
20.700,103.839,48.47,321.62
20.750,103.852,48.49,321.64
20.800,103.861,48.51,321.66
20.850,103.883,48.52,321.67
20.900,103.900,48.54,321.69
20.950,103.867,48.56,321.71
21.000,103.857,48.57,321.72
21.050,103.861,48.59,321.74
21.100,103.854,48.61,321.76
21.150,103.835,48.63,321.78
21.200,103.857,48.65,321.80
21.250,103.898,48.67,321.82
21.300,103.889,48.69,321.84
21.350,103.885,48.71,321.86
21.400,103.906,48.73,321.88
21.450,103.898,48.75,321.90
21.500,103.898,48.76,321.91
21.550,103.846,48.79,321.94
21.600,103.900,48.80,321.95
21.650,103.900,48.82,321.97
21.700,103.898,48.84,321.99
21.750,103.909,48.86,322.01
21.800,103.917,48.88,322.03
21.850,103.917,48.89,322.04
21.900,103.906,48.92,322.07
21.950,103.930,48.93,322.08
22.000,103.928,48.95,322.10
22.050,103.913,48.96,322.11
22.100,103.919,48.98,322.13
22.150,103.915,49.00,322.15
22.200,103.893,49.02,322.17
22.250,103.922,49.03,322.18
22.300,103.909,49.05,322.20
22.350,103.900,49.07,322.22
22.400,103.911,49.08,322.23
22.450,103.937,49.10,322.25
22.500,103.896,49.13,322.28
22.550,103.924,49.15,322.30
22.600,103.930,49.17,322.32
22.650,103.902,49.19,322.34
22.700,103.887,49.21,322.36
22.750,103.950,49.22,322.37
22.800,103.917,49.24,322.39
22.850,103.954,49.26,322.41
22.900,103.900,49.27,322.42
22.950,103.982,49.30,322.45
23.000,103.935,49.32,322.47
23.050,103.909,49.33,322.48
23.100,103.930,49.35,322.50
23.150,103.915,49.37,322.52
23.200,103.950,49.39,322.54
23.250,103.932,49.41,322.56
23.300,103.932,49.42,322.57
23.350,103.941,49.44,322.59
23.400,103.919,49.46,322.61
23.450,103.939,49.47,322.62
23.500,103.956,49.49,322.64
23.550,103.952,49.51,322.66
23.600,103.948,49.52,322.67
23.650,103.943,49.54,322.69
23.700,103.930,49.56,322.71
23.750,103.954,49.57,322.72
23.800,103.950,49.59,322.74
23.850,103.958,49.60,322.75
23.900,103.937,49.62,322.77
23.950,103.941,49.64,322.79
24.000,103.956,49.65,322.80
24.050,103.937,49.67,322.82
24.100,103.965,49.69,322.84
24.150,103.991,49.70,322.85
24.200,103.961,49.72,322.87
24.250,103.963,49.73,322.88
24.300,103.943,49.75,322.90
24.350,103.987,49.77,322.92
24.400,103.969,49.79,322.94
24.450,104.004,49.81,322.96
24.500,103.989,49.83,322.98
24.550,103.985,49.85,323.00
24.600,103.987,49.87,323.02
24.650,103.982,49.89,323.04
24.700,103.991,49.91,323.06
24.750,103.971,49.93,323.08
24.800,103.987,49.95,323.10
24.850,103.963,49.96,323.11
24.900,103.978,49.98,323.13
24.950,103.991,49.99,323.14
25.000,103.954,50.01,323.16
25.050,103.989,50.02,323.17
25.100,103.969,50.04,323.19
25.150,104.002,50.05,323.20
25.200,104.011,50.07,323.22
25.250,103.991,50.08,323.23
25.300,104.021,50.10,323.25
25.350,104.021,50.12,323.27
25.400,104.000,50.13,323.28
25.450,103.998,50.15,323.30
25.500,103.989,50.16,323.31
25.550,103.971,50.17,323.32
25.600,104.000,50.19,323.34
25.650,103.991,50.21,323.36
25.700,104.004,50.23,323.38
25.750,103.987,50.24,323.39
25.800,104.008,50.26,323.41
25.850,103.980,50.27,323.42
25.900,104.011,50.29,323.44
25.950,104.002,50.30,323.45
26.000,103.982,50.32,323.47
26.050,104.006,50.34,323.49
26.100,104.004,50.35,323.50
26.150,104.019,50.37,323.52
26.200,103.998,50.39,323.54
26.250,103.995,50.41,323.56
26.300,103.991,50.43,323.58
26.350,103.991,50.45,323.60
26.400,103.985,50.47,323.62
26.450,104.030,50.50,323.65
26.500,104.006,50.52,323.67
26.550,104.011,50.54,323.69
26.600,104.000,50.57,323.72
26.650,104.000,50.59,323.74
26.700,104.013,50.62,323.77
26.750,103.989,50.64,323.79
26.800,104.011,50.66,323.81
26.850,104.006,50.67,323.82
26.900,104.004,50.69,323.84
26.950,103.976,50.71,323.86
27.000,104.000,50.73,323.88
27.050,104.021,50.75,323.90
27.100,103.995,50.77,323.92
27.150,104.011,50.79,323.94
27.200,104.021,50.80,323.95
27.250,104.032,50.82,323.97
27.300,104.019,50.84,323.99
27.350,104.011,50.86,324.01
27.400,104.060,50.88,324.03
27.450,104.045,50.89,324.04
27.500,103.993,50.91,324.06
27.550,104.013,50.92,324.07
27.600,104.024,50.94,324.09
27.650,104.011,50.96,324.11
27.700,104.011,50.97,324.12
27.750,104.043,50.98,324.13
27.800,104.019,51.00,324.15
27.850,104.030,51.01,324.16
27.900,104.030,51.03,324.18
27.950,104.013,51.04,324.19
28.000,104.043,51.06,324.21
28.050,104.011,51.07,324.22
28.100,104.008,51.09,324.24
28.150,104.011,51.10,324.25
28.200,104.063,51.11,324.26
28.250,104.056,51.13,324.28
28.300,104.039,51.14,324.29
28.350,104.045,51.15,324.30
28.400,104.045,51.17,324.32
28.450,104.045,51.18,324.33
28.500,104.004,51.19,324.34
28.550,104.039,51.21,324.36
28.600,104.015,51.22,324.37
28.650,104.019,51.24,324.39
28.700,104.017,51.25,324.40
28.750,104.028,51.26,324.41
28.800,104.058,51.28,324.43
28.850,104.050,51.30,324.45
28.900,104.017,51.31,324.46
28.950,104.021,51.32,324.47
29.000,104.030,51.34,324.49
29.050,104.028,51.35,324.50
29.100,104.034,51.36,324.51
29.150,104.017,51.37,324.52
29.200,104.030,51.38,324.53
29.250,104.011,51.40,324.55
29.300,104.039,51.41,324.56
29.350,104.037,51.42,324.57
29.400,104.039,51.43,324.58
29.450,104.037,51.45,324.60
29.500,104.034,51.46,324.61
29.550,104.004,51.47,324.62
29.600,104.021,51.48,324.63
29.650,104.047,51.49,324.64
29.700,104.043,51.50,324.65
29.750,104.065,51.51,324.66
29.800,104.021,51.52,324.67
29.850,104.032,51.54,324.69
29.900,104.058,51.55,324.70
29.950,104.047,51.56,324.71
30.000,104.015,51.58,324.73
30.050,104.015,51.59,324.74
30.100,104.039,51.61,324.76
30.150,104.047,51.62,324.77
30.200,104.034,51.63,324.78
30.250,104.034,51.64,324.79
30.300,104.039,51.65,324.80
30.350,104.017,51.66,324.81
30.400,104.050,51.68,324.83
30.450,104.039,51.69,324.84
30.500,104.006,51.70,324.85
30.550,104.037,51.71,324.86
30.600,104.054,51.73,324.88
30.650,104.069,51.74,324.89
30.700,104.043,51.76,324.91
30.750,104.050,51.78,324.93
30.800,104.039,51.80,324.95
30.850,104.028,51.82,324.97
30.900,104.045,51.84,324.99
30.950,104.045,51.85,325.00
31.000,104.006,51.87,325.02
31.050,104.024,51.88,325.03
31.100,103.993,51.89,325.04
31.150,104.028,51.91,325.06
31.200,104.030,51.92,325.07
31.250,104.021,51.93,325.08
31.300,104.024,51.94,325.09
31.350,103.991,51.95,325.10
31.400,104.011,51.97,325.12
31.450,104.017,51.97,325.12
31.500,103.985,51.99,325.14
31.550,104.008,51.99,325.14
31.600,103.987,52.00,325.15
31.650,104.019,52.01,325.16
31.700,103.980,52.02,325.17
31.750,104.021,52.04,325.19
31.800,103.991,52.04,325.19
31.850,103.989,52.06,325.21
31.900,103.969,52.06,325.21
31.950,103.980,52.08,325.23
32.000,103.989,52.09,325.24
32.050,103.982,52.10,325.25
32.100,103.965,52.11,325.26
32.150,104.013,52.12,325.27
32.200,103.985,52.13,325.28
32.250,103.976,52.15,325.30
32.300,103.961,52.16,325.31
32.350,103.998,52.17,325.32
32.400,103.974,52.19,325.34
32.450,103.948,52.20,325.35
32.500,103.943,52.21,325.36
32.550,103.965,52.22,325.37
32.600,103.965,52.23,325.38
32.650,104.006,52.24,325.39
32.700,103.987,52.26,325.41
32.750,103.954,52.26,325.41
32.800,103.969,52.28,325.43
32.850,103.967,52.29,325.44
32.900,103.954,52.30,325.45
32.950,103.954,52.31,325.46
33.000,103.958,52.33,325.48
33.050,103.987,52.33,325.48
33.100,104.000,52.34,325.49
33.150,103.963,52.35,325.50
33.200,103.985,52.36,325.51
33.250,103.967,52.37,325.52
33.300,103.965,52.38,325.53
33.350,103.937,52.39,325.54
33.400,103.950,52.40,325.55
33.450,103.985,52.41,325.56
33.500,103.978,52.41,325.56
33.550,103.998,52.42,325.57
33.600,103.965,52.43,325.58
33.650,103.963,52.44,325.59
33.700,103.989,52.45,325.60
33.750,103.991,52.46,325.61
33.800,103.969,52.47,325.62
33.850,103.995,52.48,325.63
33.900,103.987,52.49,325.64
33.950,103.969,52.50,325.65
34.000,103.978,52.51,325.66
34.050,104.019,52.51,325.66
34.100,104.000,52.52,325.67
34.150,103.978,52.53,325.68
34.200,103.989,52.54,325.69
34.250,103.976,52.55,325.70
34.300,103.948,52.56,325.71
34.350,103.954,52.57,325.72
34.400,103.952,52.57,325.72
34.450,103.967,52.58,325.73
34.500,103.980,52.59,325.74
34.550,103.969,52.60,325.75
34.600,103.985,52.60,325.75
34.650,103.961,52.61,325.76
34.700,103.969,52.62,325.77
34.750,103.987,52.63,325.78
34.800,103.978,52.64,325.79
34.850,103.956,52.65,325.80
34.900,103.965,52.66,325.81
34.950,104.017,52.67,325.82
35.000,103.954,52.68,325.83
35.050,103.978,52.69,325.84
35.100,104.008,52.70,325.85
35.150,103.965,52.70,325.85
35.200,104.000,52.71,325.86
35.250,103.967,52.72,325.87
35.300,104.017,52.73,325.88
35.350,103.976,52.73,325.88
35.400,103.982,52.74,325.89
35.450,103.993,52.75,325.90
35.500,103.998,52.76,325.91
35.550,103.993,52.76,325.91
35.600,103.969,52.77,325.92
35.650,103.967,52.77,325.92
35.700,103.987,52.77,325.92
35.750,103.963,52.78,325.93
35.800,103.967,52.79,325.94
35.850,103.995,52.79,325.94
35.900,103.989,52.80,325.95
35.950,104.011,52.80,325.95
36.000,103.982,52.81,325.96
36.050,103.998,52.81,325.96
36.100,104.034,52.82,325.97
36.150,104.000,52.83,325.98
36.200,104.008,52.83,325.98
36.250,104.000,52.84,325.99
36.300,103.980,52.84,325.99
36.350,103.974,52.85,326.00
36.400,104.004,52.86,326.01
36.450,103.991,52.87,326.02
36.500,103.998,52.87,326.02
36.550,103.985,52.88,326.03
36.600,104.019,52.88,326.03
36.650,103.995,52.89,326.04
36.700,104.019,52.89,326.04
36.750,103.985,52.90,326.05
36.800,103.995,52.90,326.05
36.850,103.976,52.91,326.06
36.900,104.011,52.91,326.06
36.950,103.995,52.92,326.07
37.000,104.017,52.93,326.08
37.050,103.985,52.93,326.08
37.100,104.011,52.94,326.09
37.150,103.974,52.94,326.09
37.200,103.991,52.95,326.10
37.250,103.961,52.95,326.10
37.300,103.978,52.95,326.10
37.350,104.015,52.96,326.11
37.400,103.987,52.96,326.11
37.450,104.006,52.96,326.11
37.500,103.991,52.97,326.12
37.550,103.998,52.96,326.11
37.600,103.993,52.97,326.12
37.650,103.993,52.97,326.12
37.700,103.971,52.97,326.12
37.750,103.978,52.98,326.13
37.800,103.967,52.98,326.13
37.850,104.017,52.98,326.13
37.900,103.995,52.98,326.13
37.950,103.963,52.99,326.14
38.000,103.998,53.00,326.15
38.050,103.987,53.00,326.15
38.100,103.995,53.00,326.15
38.150,103.965,53.01,326.16
38.200,103.967,53.01,326.16
38.250,103.989,53.02,326.17
38.300,103.989,53.02,326.17
38.350,103.965,53.03,326.18
38.400,103.987,53.03,326.18
38.450,103.958,53.04,326.19
38.500,103.932,53.04,326.19
38.550,103.939,53.05,326.20
38.600,103.967,53.06,326.21
38.650,103.982,53.06,326.21
38.700,103.941,53.07,326.22
38.750,103.985,53.07,326.22
38.800,103.985,53.08,326.23
38.850,103.991,53.09,326.24
38.900,103.967,53.09,326.24
38.950,103.991,53.10,326.25
39.000,103.961,53.11,326.26
39.050,103.926,53.11,326.26
39.100,103.985,53.12,326.27
39.150,103.963,53.12,326.27
39.200,103.974,53.13,326.28
39.250,103.958,53.13,326.28
39.300,103.954,53.14,326.29
39.350,103.941,53.14,326.29
39.400,103.963,53.15,326.30
39.450,103.958,53.15,326.30
39.500,103.965,53.15,326.30
39.550,103.965,53.16,326.31
39.600,103.926,53.16,326.31
39.650,103.922,53.17,326.32
